days,United States,China,Japan,Germany,India,France,United Kingdom,Brazil,Italy,Canada,United States rate,China rate,Japan rate,Germany rate,India rate,France rate,United Kingdom rate,Brazil rate,Italy rate,Canada rate
1,1,27,1,1,1,3,2,1,3,1,0,0,0,1.386294361,0,0,0,0,0,0
2,1,27,1,4,1,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0.693147181
3,1,27,1,4,1,3,2,1,3,2,0,0.488352768,0,0.223143551,0.693147181,0,0,0,0,0.405465108
4,1,44,1,5,2,3,2,1,3,3,0.693147181,0,0,0.336472237,0,0.287682072,0,0.693147181,0,0
5,2,44,1,7,2,4,2,2,3,3,0,0.29334781,0,0.133531393,0.405465108,0.223143551,0,0,0,0
6,2,59,1,8,3,5,2,2,3,3,0.916290732,0,0,0.117783036,0,0.182321557,0,0,0,0.287682072
7,5,59,1,9,3,6,2,2,3,4,0,0,0,0.200670695,0,0,0.405465108,0,0,0
8,5,59,1,11,3,6,3,2,3,4,0,0,0,0,0,0,0,0.405465108,0,0
9,5,59,1,11,3,6,3,3,3,4,0,0,0.693147181,0,0,0,0.287682072,0.980829253,0,0
10,5,59,2,11,3,6,4,8,3,4,0.182321557,0,0,0.087011377,0,0,0,0.485507816,0,0.223143551
11,6,59,2,12,3,6,4,13,3,5,0.15415068,0,0.405465108,0.080042708,0,0,0.693147181,0,0,0
12,7,59,3,13,3,6,8,13,3,5,0.133531393,0,0,0,0,0,0,0.653926467,0,0.336472237
13,8,59,3,13,3,6,8,25,3,7,0.318453731,0,0.287682072,0,0,0,0.117783036,0,0,0
14,11,59,4,13,3,6,9,25,3,7,0,0,0.559615788,0,0,0.606135804,0,0.3074847,0,0
15,11,59,7,13,3,11,9,34,3,7,0,0,0.451985124,0.143100844,0,0,0,0.424883194,0,0
16,11,59,11,15,3,11,9,52,3,7,0.087011377,0,0.241162057,0,0,0,0,0.392561703,0,0
17,12,59,14,15,3,11,9,77,3,7,0,0.065597282,0.068992871,0,0,0,0,0.241162057,0,0
18,12,63,15,15,3,11,9,98,3,7,0,0.238891908,0.236388778,0,0,0,0,0.210823067,0,0
19,12,80,19,15,3,11,9,121,3,7,0,0.993251773,0.051293294,0,0,0,0,0.502526821,0,0
20,12,216,20,15,3,11,9,200,3,7,0,0.084307106,0,0,0,0,0,0.157003749,0,0.133531393
21,12,235,20,15,3,11,9,234,3,8,0.080042708,0.496251855,0.223143551,0,0,0,0,0.218002152,0,0
22,13,386,25,15,3,11,9,291,3,8,0,0.309463843,0,0,0,0,0,0.385799928,1.734601055,0
23,13,526,25,15,3,11,9,428,17,8,0.074107972,0.169245306,0,0,0,0.087011377,0,0.372207886,1.536234508,0
24,14,623,25,15,3,12,9,621,79,8,0.068992871,0.347645537,0,0,0,0,0.36772478,0.375498278,0.51335407,0
25,15,882,25,15,3,12,13,904,132,8,0,0.405465108,0,0,0,0,0,0.221372072,0.550920081,0
26,15,1323,25,15,3,12,13,1128,229,8,0,0.407227223,0,0,0,0,0,0.315224797,0.340829542,0.117783036
27,15,1988,25,15,3,12,13,1546,322,9,0,0.333521639,0,0,0,0,0,0.20143484,0.216913002,0
28,15,2775,25,15,3,12,13,1891,400,9,0,0.489629594,0,0,0,0,0.207639365,0.151806013,0.485507816,0
29,15,4528,25,15,3,12,16,2201,650,9,0,0.280478628,0.148420005,0.125163143,0,0,0.117783036,0.100213261,0.31199938,0
30,15,5994,29,17,3,12,18,2433,888,9,0,0.254867224,0.033901552,0.211309094,0,0,0.245122458,0.180744756,0.239229689,0.200670695
31,15,7734,30,21,3,12,23,2915,1128,11,0.064538521,0.227941951,0.236388778,0.805625164,0,0,0.448024723,0.158893153,0.403690485,0
32,16,9714,38,47,3,12,36,3417,1689,11,0.782759339,0.195293809,0.313657559,0.192903666,0,0.15415068,0.105360516,0.133238695,0.186850461,0.087011377
33,35,11809,52,57,3,14,40,3904,2036,12,0,0.198296807,0.126293725,0.666478933,0.510825624,0.194156014,0.242946179,0.086328083,0.206103313,0.15415068
34,35,14399,59,111,5,17,51,4256,2502,14,0,0.178389955,0,0.150282203,0.182321557,0.804372816,0.510825624,0.073150882,0.210757002,0.133531393
35,35,17211,59,129,6,38,85,4579,3089,16,0.414943852,0.172336364,0.112117298,0.196433401,1.540445041,0.405465108,0.302280872,0.221963559,0.222301501,0.223143551
36,53,20448,66,157,28,57,115,5717,3858,20,0,0.173413979,0.241162057,0.221868854,0.03509132,0.562118918,0.348818072,0.178758573,0.183703011,0.182321557
37,53,24320,84,196,29,100,163,6836,4636,24,0.10724553,0.142582617,0.101782694,0.290229845,0.066691374,0.262364264,0.234125968,0.145925017,0.23821491,0.117783036
38,59,28047,93,262,31,130,206,7910,5883,27,0.016807118,0.106760754,0.121360857,0.423120043,0.09237332,0.3142491,0.281595626,0.13529974,0.226029066,0.105360516
39,60,31207,105,400,34,178,273,9056,7375,30,0.09531018,0.103933536,0.228841572,0.536493371,0.257829109,0.174802724,0.161969328,0.126578167,0.218059463,0.09531018
40,66,34625,132,684,44,212,321,10278,9172,33,0.044451763,0.072592642,0.087011377,0.213742777,0,0.295902906,0.150137297,0.079638477,0.101219813,0.310154928
41,69,37232,144,847,44,285,373,11130,10149,45,0.254529865,0.076847632,0,0.062913825,0.127833372,0.394882999,0.20091439,0.079918296,0.205308836,0.125163143
42,89,40206,144,902,50,423,456,12056,12462,51,0.146092618,0.060089001,0.130053128,0.233291443,0.378436436,0.370992757,0.257629727,0.129073478,0.192871286,0.111225635
43,103,42696,164,1139,73,613,590,13717,15113,57,0.193584749,0.046405031,0.125880246,0.129131913,0.027028672,0.155315231,0.180908129,0.149379843,0.155746895,0.084083117
44,125,44724,186,1296,75,716,707,15927,17660,62,0.240590465,0.291581757,0.121360857,0.189880365,0.101352494,0.452746642,0.477752875,0.114379806,0.180668625,0.216671037
45,159,59865,210,1567,83,1126,1140,17857,21157,77,0.382134251,0.067119127,0.090971778,0.413304962,0.080969063,0.226335609,0.198994651,0.095070877,0.12524933,0.188794071
46,233,64021,230,2369,90,1412,1391,19638,23980,93,0.372007442,0.038877618,0.038384243,0.256600372,0.032789823,0.233850895,0.10370566,0.053970733,0.15426982,0.102129495
47,338,66559,239,3062,93,1784,1543,20727,27980,103,0.247691833,0.029708013,0.060870715,0.214616114,0.295714244,0.245755909,0.234100799,0.067257718,0.118688035,0.292524697
48,433,68566,254,3795,125,2281,1950,22169,31506,138,0.246426959,0.029488284,0,0.242817001,0.091667189,0.231786497,0.299154474,0.055322336,0.125336764,0.24323031
49,554,70618,254,4838,137,2876,2630,23430,35713,176,0.308227681,0.026411831,0.053652713,0.21725606,0.185964548,0.241335894,0.219944524,0.075284038,0.138910593,0.32668423
50,754,72508,268,6012,165,3661,3277,25262,41035,244,0.307055524,0.023848615,0.167914793,0.174193694,0.146327954,0.206118816,0.195106934,0.114266978,0.136168949,0.219859476
51,1025,74258,317,7156,191,4499,3983,28320,47021,304,0.246860078,0.005291799,0.096170148,0.135939056,0.190144282,0.186794018,0.230996144,0.07169637,0.130544226,0.332705754
52,1312,74652,349,8198,231,5423,5018,30425,53578,424,0.23707051,0.011864715,0.156195252,0.544975986,0.325903285,0.201408023,0.124447814,0.101698931,0.09873516,0.294146979
53,1663,75543,408,14138,320,6633,5683,33682,59138,569,0.267945588,0.010874824,0.109030245,0.251840845,0.316178417,0.153051672,0.157137592,0.083057348,0.077868112,0.192811163
54,2174,76369,455,18187,439,7730,6650,36599,63927,690,0.305575307,0.008436338,0.070017987,0.165623469,0.113979303,0.166894852,0.194403662,0.054629345,0.078912174,0.203827762
55,2951,77016,488,21463,492,9134,8077,38654,69176,846,0.245991351,0.002826582,0.05190786,0.143464194,0.133023133,0.185436909,0.165319264,0.048649714,0.07261377,0.137807109
56,3774,77234,514,24774,562,10995,9529,40581,74386,971,0.21109457,0.006645915,0.099898153,0.164784868,0.143930867,0.137208118,0.201652859,0.059735663,0.079473787,0.293330354
57,4661,77749,568,29212,649,12612,11658,43079,80539,1302,0.321277849,0.005259524,0.085983854,0.07712078,0.109358676,0.136668316,0.221117139,0.060309146,0.071379753,0.0937729
58,6427,78159,619,31554,724,14459,14543,45757,86498,1430,0.381796296,0.00560104,0.086607418,0.145831051,0.187144163,0.102396032,0.161325203,0.078466255,0.066784604,0.140673658
59,9415,78598,675,36508,873,16018,17089,49492,92472,1646,0.414452745,0.004177121,0.087875201,0.146971943,0.114596087,0.214793139,0.133107053,0.068386529,0.054883067,0.174086037
60,14250,78927,737,42288,979,19856,19522,52995,97689,1959,0.3199964,0.005408082,0.056706027,0.138749734,0.089816428,0.116170132,0.125889059,0.098983019,0.040621747,0.546919767
61,19624,79355,780,48582,1071,22302,22141,58509,101739,3385,0.309669011,0.007207284,0.042666446,0.078454915,0.15535044,0.123476301,0.127426803,0.056145711,0.039064192,0.17143036
62,26747,79929,814,52547,1251,25233,25150,61888,105792,4018,0.274794205,0.002561493,0.012210164,0.086557712,0.110383849,0.144473763,0.158650622,0.071890685,0.044210078,0.151444896
63,35206,80134,824,57298,1397,29155,29474,66501,110574,4675,0.2769877,0.001583591,0.006049625,0.077464455,0.341165165,0.122789632,0.134523301,0.077864546,0.041349285,0.141573832
64,46442,80261,829,61913,1965,32964,33718,71886,115242,5386,0.173320168,0.001481565,0.051715401,0.084410266,0.157851566,0.130922879,0.123965649,0.083702065,0.039014771,0.14957815
65,55231,80380,873,67366,2301,37575,38168,78162,119827,6255,0.225389764,0.001454528,0.084526429,0.087444242,0.232056343,0.066881085,0.093359955,0.088328285,0.039316359,0.171336852
66,69194,80497,950,73522,2902,40174,41903,85380,124632,7424,0.217328486,0.002109653,0.058268908,0.080634715,0.15069883,0.103392134,0.131793731,0.070199296,0.034043827,0.139574519
67,85991,80667,1007,79696,3374,44550,47806,91589,128948,8536,0.196722754,0.001251278,0.037997752,0.073543167,0.186806643,0.157090079,0.076525545,0.052843043,0.027528077,0.116949615
68,104686,80768,1046,85778,4067,52128,51608,96559,132547,9595,0.174664746,0.00056937,0.040286478,0.066912476,0.083460288,0.089156034,0.068046834,0.046420684,0.022668826,0.160724721
69,124665,80814,1089,91714,4421,56989,55242,101147,135586,11268,0.1373893,0.000556679,0.035186309,0.039309195,0.161138198,0.036457256,0.094763674,0.063517208,0.02789918,0.10528064
70,143025,80859,1128,95391,5194,59105,60733,107780,139422,12519,0.140620347,0.000247314,0.05602499,0.039405764,0.098909254,0.084834913,0.069083977,0.062358679,0.029707394,0.103345547
71,164620,80879,1193,99225,5734,64338,65077,114715,143626,13882,0.141371734,0.000358496,0.060969713,0.039550135,0.111757867,0.064214982,0.076802242,0.087605427,0.027137375,0.109988889
72,189618,80908,1268,103228,6412,68605,70272,125218,147577,15496,0.13359929,0.000296589,0.072980703,0.047059716,0.149640032,0.026935186,0.116960495,0.076003437,0.031311755,0.072008454
73,216721,80932,1364,108202,7447,70478,78991,135106,152271,16653,0.124849055,0.000271796,0.09437666,0.048023226,0.115168577,0.05402092,0.064798802,0.072933601,0.026518399,0.071260161
74,245540,80954,1499,113525,8356,74390,84279,145328,156363,17883,0.12403534,0.000234674,0.121703884,0.035759034,0.090992591,0.049526039,0.050236126,0.070471648,0.019964003,0.074906497
75,277965,80973,1693,117658,9152,78167,88621,155939,159516,19274,0.116267308,0.000271659,0.097294999,0.023693353,0.124269336,0.048456878,0.057573955,0.042436963,0.018459922,0.073692819
76,312237,80995,1866,120479,10363,82048,93873,162699,162488,20748,0.078202916,0.000308613,0.045569549,0.020838964,0.098699375,0.050919053,0.047870059,0.034030411,0.016280274,0.064619851
77,337635,81020,1953,123016,11438,86334,98476,168331,165155,22133,0.086649975,0.000530592,0,0.016783002,0.079141122,0.049069218,0.04581863,0.053539613,0.022665115,0.051426571
78,368196,81063,1953,125098,12380,90676,103093,177589,168941,23301,0.0798672,0.00028369,0.109040373,0.019677541,0.07820182,0.033765527,0.052886701,0.062137548,0.020465013,0.044651398
79,398809,81086,2178,127584,13387,93790,108692,188974,172434,24365,0.080248492,0.000542487,0.183621599,0.02221504,0.071415174,0.017051784,0.049581953,0.071192517,0.020043213,0.05190259
80,432132,81130,2617,130450,14378,95403,114217,202918,175925,25663,0.07552535,0.00121952,0.11467883,0.025580326,0.088725491,0.027632664,0.049949773,0.072715519,0.017171601,0.052488854
81,466033,81229,2935,133830,15712,98076,120067,218223,178972,27046,0.073466794,0.000639961,0.108388295,0.026609844,0.094256579,0.05453399,0.038205701,0.066130234,0.012526538,0.047581615
82,501560,81281,3271,137439,17265,103573,124743,233142,181228,28364,0.055061308,0.000799375,0.110726709,0.017726255,0.07448025,0.025103926,0.033897811,0.033481119,0.014946128,0.058773008
83,529951,81346,3654,139897,18600,106206,129044,241080,183957,30081,0.0508053,0.00169502,0.043642316,0.012608089,0.071770373,0.024562622,0.033910592,0.053071205,0.018153718,0.057834138
84,557571,81484,3817,141672,19984,108847,133495,254220,187327,31872,0.043900696,0.000846434,0.023049059,0.012520812,0.068131812,0.003713914,0.033754719,0.066233449,0.014026204,0.045059989
85,582594,81553,3906,143457,21393,109252,138078,271628,189973,33341,0.045174654,0.000955976,0.086050854,0.015473193,0.075772685,0.023242238,0.03826539,0.070877498,0.015777144,0.042168378
86,609516,81631,4257,145694,23077,111821,143464,291579,192994,34777,0.048277839,0.001248745,0.09195178,0.016014504,0.060081535,0.006995622,0.0336722,0.061541922,0.01213884,0.057166401
87,639664,81733,4667,148046,24506,112606,148377,310087,195351,36823,0.04831927,0.001149425,0.136019189,0.015662337,0.078075793,0.018050063,0.02963529,0.064933091,0.011826327,0.042273294
88,671331,81827,5347,150383,26496,114657,152840,330890,197675,38413,0.044904686,0.001453231,0.232710509,0.013572583,0.051346131,0.022994275,0.027802777,0.048685103,0.008758798,0.044948527
89,702164,81946,6748,152438,27892,117324,157149,347398,199414,40179,0.045820504,0.001378007,0.072444722,0.011330365,0.053844533,0.015452258,0.025110181,,0.010431129,0.046679516
90,735086,82059,7255,154175,29435,119151,161145,,201505,42099,0.032919007,0.00119355,0.052360953,0.006581183,0.062455497,0.013777801,0.024979391,,0.010298884,0.041366277
91,759687,82157,7645,155193,31332,120804,165221,,203591,43877,0.036276813,0.00102191,0.057812222,0.00734443,0.053381627,0.014570006,0.035858024,,0.00915289,0.032821436
92,787752,82241,8100,156337,33050,122577,171253,,205463,45341,0.046249763,0.000656391,0.057802925,0.008306362,0.058554313,0.012461094,0.035569425,,0.009518322,0.033464765
93,825041,82295,8582,157641,35043,124114,177454,,207428,46884,0.021093684,0.001214403,0.065943092,0.009332054,0.06338213,0.003707446,0.026722819,,0.009118108,0.033660502
94,842629,82395,9167,159119,37336,124575,182260,,209328,48489,0.031014268,0.000849205,0.066261972,0,0.06842132,0.009546898,0.02352769,,0.006613601,0.030985992
95,869172,82465,9795,159119,39980,125770,186599,,210717,50015,0.024269019,0.000751552,0.056176706,0.016108969,0.061900916,0.008432187,0.021131113,,0.005777778,0.030946742
96,890524,82527,10361,161703,42533,126835,190584,,211938,51587,0.053061867,0.000581459,0.036950016,0.004892067,0.087730168,0.012590411,0.022855233,,0.005059418,0.031465156
97,939053,82575,10751,162496,46433,128442,194990,,213013,53236,0.028198742,0.000811055,0.033566643,0.004169858,0.061757808,0.008828728,0.031356133,,0.006756055,0.033706802
98,965910,82642,11118,163175,49391,129581,201201,,214457,55061,0.023068409,0.000677392,0.033433732,0.00418916,0.069617621,0.004650348,0.027036625,,0.006511532,0.029579432
99,988451,82698,11496,163860,52952,130185,206715,,215858,56714,0.0241207,0.001039388,0.023724682,0.006308632,0.062054418,0.006080489,0.022240733,,0.006128741,0.047518148
100,1012583,82784,11772,164897,56342,130979,211364,,217185,59474,0.026628717,0.001038309,0.038985447,0.007214794,0.057255041,0.002348761,0.018264834,,0.004974141,0.021589914
101,1039909,82870,12240,166091,59662,131287,215260,,218268,60772,0.028362809,0.00066347,0.051897687,0.007252777,0.053470702,0.004377738,0.018060397,,0.003667648,0.020746889
102,1069826,82925,12892,167300,62939,131863,219183,,219070,62046,0.03124554,0.000952215,0.022245299,0.007449767,0.064792703,0.008337472,0.017533796,,0.003390421,0.023100866
103,1103781,83004,13182,168551,67152,132967,223060,,219814,63496,0.026188322,0.001119801,0.015282414,0.00394945,0.052278632,0.03097424,0.015140783,,0.006357866,0.022209638
104,1133069,83097,13385,169218,70756,137150,226463,,221216,64922,0.021799904,0.001346915,0.014168851,0.002107482,0.04861786,0.004575735,0.014214301,,0.004006141,0.023022424
105,1158041,83209,13576,169575,74281,137779,229705,,222104,66434,0.019321798,0.001129048,0.020126099,0.00548691,0.048892089,0.004648814,0.014890435,,0.004456431,0.018906748
106,1180634,83303,13852,170508,78003,138421,233151,,223096,67702,0.019992205,0.000588041,0.016893745,0.004669215,0.049606039,0.003123256,0.015153675,,0.003530355,0.016785455
107,1204475,83352,14088,171306,81970,138854,236711,,223885,68848,0.019833964,0.000599686,0.013606611,0.005431616,0.047296052,0.001504046,0.014469544,,0.003900639,0.016322601
108,1228603,83402,14281,172239,85940,139063,240161,,224760,69981,0.022827903,0.004211641,0.018248555,0.005286774,0.056407608,0.003273725,0.014607912,,0.002998703,0.016664927
109,1256972,83754,14544,173152,90927,139519,243695,,225435,71157,0.021219254,0.000370063,0.020080313,0.003574274,0.056050074,0.005061745,0.011063139,,0.001998578,0.015631092
110,1283929,83785,14839,173772,96169,140227,246406,,225886,72278,0.019751786,0.000214813,0.014584149,0.003349356,0.050388748,0.003609046,0.009741124,,0.003592699,0.015417764
111,1309541,83803,15057,174355,101139,140734,248818,,226699,73401,0.015351109,0.000167045,0.011489825,0.001959594,0.053993844,0.004409947,-0.002112205,,0.002929111,0.016229757
112,1329799,83817,15231,174697,106750,141356,248293,,227364,74602,0.013531893,0.000381711,0.008043202,0.00293221,0.05120945,0.003974941,0.010476838,,0.002819687,0.01662994
113,1347916,83849,15354,175210,112359,141919,250908,,228006,75853,0.016224766,0.000178877,0.007074047,0.004538512,0.052766501,0.002617784,0.013015351,,0.002855493,0.014891275
114,1369964,83864,15463,176007,118447,142291,254195,,228658,76991,0.015055832,0.000143079,0.00541762,0.004223853,0.054655808,0.000842987,,,0.002921495,0.01380204
115,1390746,83876,15547,176752,125101,142411,,,229327,78061,0.019328852,9.53743E-05,0.005196483,0.002599136,0.052680011,0.003448835,,,,0.013234945
116,1417889,83884,15628,177212,131868,142903,,,,79101,0.017830217,0.000178802,0.007585694,0.003593742,,0.003660117,,,,0.012437971
117,1443397,83899,15747,177850,,143427,,,,80091,0.016822545,0.000119184,0.003233479,0.002420459,,0.002910136,,,,0.015142417
118,1467884,83909,15798,178281,,143845,,,,81313,0.01277533,3.57524E-05,0.004799201,,,0.002208273,,,,0.01411656
119,1486757,83912,15874,,,144163,,,,82469,0.014583505,0.0003098,0.009405048,,,0.002791547,,,,0.013740665
120,1508598,83938,16024,,,144566,,,,83610,0.013150607,2.38268E-05,0.003426474,,,0.001658765,,,,
121,1528568,83940,16079,,,144806,,,,,0.015118351,4.7652E-05,0.007064977,,,,,,,
122,1551853,83944,16193,,,,,,,,0.016256582,0.000142942,0.002713539,,,,,,,
123,1577287,83956,16237,,,,,,,,0.015193195,3.57324E-05,0.00295185,,,,,,,
124,1601434,83959,16285,,,,,,,,0.013173463,2.38209E-05,0.001227371,,,,,,,
125,1622670,83961,16305,,,,,,,,,3.57302E-05,0.003673099,,,,,,,
126,,83964,16365,,,,,,,,,2.38194E-05,0.001221374,,,,,,,
127,,83966,16385,,,,,,,,,2.38189E-05,0.002377398,,,,,,,
128,,83968,16424,,,,,,,,,2.38183E-05,0.00540427,,,,,,,
129,,83970,16513,,,,,,,,,7.14515E-05,0.001391873,,,,,,,
130,,83976,16536,,,,,,,,,0,0.000846279,,,,,,,
131,,83976,16550,,,,,,,,,0.000178607,,,,,,,,
132,,83991,,,,,,,,,,0.000226189,,,,,,,,
133,,84010,,,,,,,,,,1.19033E-05,,,,,,,,
134,,84011,,,,,,,,,,8.3319E-05,,,,,,,,
135,,84018,,,,,,,,,,7.14107E-05,,,,,,,,
136,,84024,,,,,,,,,,5.9505E-05,,,,,,,,
137,,84029,,,,,,,,,,0.0001071,,,,,,,,
138,,84038,,,,,,,,,,7.13937E-05,,,,,,,,
139,,84044,,,,,,,,,,0.000118978,,,,,,,,
140,,84054,,,,,,,,,,0.000107068,,,,,,,,
141,,84063,,,,,,,,,,2.37914E-05,,,,,,,,
142,,84065,,,,,,,,,,2.37908E-05,,,,,,,,
143,,84067,,,,,,,,,,0.000142733,,,,,,,,
144,,84079,,,,,,,,,,2.37869E-05,,,,,,,,
145,,84081,,,,,,,,,,3.56792E-05,,,,,,,,
146,,84084,,,,,,,,,,,,,,,,,,
